Organizacion,Total_Emitidas,Banda Utilizada %
Acreditta,967,19.34
ASCUN,360,72
Banco Agricola,15,1500
Banco Agromercantil Guatemala,2,200
Bancolombia,1291,129.1
Bayer,238,47.6
BCI,6262,62.62
BEDU,84,16.8
Campus Party Col,0,0
Captti LLC,4,0.8
CENFOTEC,128,25.6
Colsubsidio,731,36.55
CUC,2725,18.166666666666668
CVTCenter,40,8
El Puerto de Liverpool,11469,114.69
Ensena Colombia,907,103.53881278538813
Fundacion Resiliencia,0,0
IAB,43,8.6
IAB BRASIL,43,8.6
LEAN7,3,0.6
Los Libertadores,2465,246500
Pontificia Bolivariana,765,38.25
Pre-Academy,1,0.2
Reaudo Bogota,2,0.1
RECLA,469,46900
REDHAT,16,3.2
Scrum_AIBE.S,538,53.8
Talento Digital Chile,1,0.2
TECHO,2553,107.17884130982368
TechXpertGuru,312,15.6
U. Autonoma,2003,200.3
U. Benito Juarez,626,31.3
U. El Bosque,230,11.5
U. Rafael L,0,0
Universidad Rosario,5071,25.355
